"SITEVISITID","SITE","OBS_YEAR","DATE_","MISSIONID","OCC_SITEID","ANALYSIS_YEAR","ANALYSIS_SCHEME","SEC_NAME","EXCLUDE_FLAG","TRANSECT_PHOTOS","Oceanography","new_MIN_DEPTH_M","new_MAX_DEPTH_M","METHOD","REGION","ISLAND","PERM_SITE","CLIMATE_STATION_YN","LATITUDE","LONGITUDE","REEF_ZONE","DEPTH_BIN","CCA","CORAL","EMA","HAL","I","MA","SC","SED","TURF","N","new.N","CCA_CORAL","BSR"
2132,"TUT-00358",2010,"2/17/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,19,25,"CPCE","SAMOA","Tutuila",0,0,-14.31963,-170.66151,"Forereef","Deep",31.7518248175182,13.8686131386861,21.5328467153285,9.85401459854015,0,2.55474452554745,0,0,20.4379562043796,300,274,45.6204379562044,1.98412698412698
2133,"TUT-00363",2010,"2/17/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,11,14,"CPCE","SAMOA","Tutuila",0,0,-14.31301,-170.65019,"Forereef","Mid",51.865671641791,7.83582089552239,29.1044776119403,0,0,0.373134328358209,0,0,10.8208955223881,300,268,59.7014925373134,5.33333333333333
2134,"TUT-00307",2010,"2/17/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,3,9,"CPCE","SAMOA","Tutuila",0,0,-14.28602,-170.63841,"Forereef","Shallow",44.5229681978799,21.9081272084806,13.7809187279152,2.82685512367491,0,0.706713780918728,2.47349823321555,0,13.7809187279152,300,283,66.4310954063604,4.58536585365854
2135,"TUT-00270",2010,"2/17/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,10,13,"CPCE","SAMOA","Tutuila",0,0,-14.31487,-170.65503,"Forereef","Mid",27.9569892473118,0.716845878136201,18.2795698924731,0,0,0,0,2.5089605734767,50.5376344086022,300,279,28.673835125448,0.567375886524823
2137,"TUT-00306",2010,"2/17/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,2,5,"CPCE","SAMOA","Tutuila",0,0,-14.29249,-170.65948,"Forereef","Shallow",16.1764705882353,33.8235294117647,17.2794117647059,0,0,0,0.367647058823529,0,32.3529411764706,300,272,50,1.54545454545455
2138,"TUT-00226",2010,"2/17/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,3,8,"CPCE","SAMOA","Tutuila",0,0,-14.28314,-170.63144,"Forereef","Shallow",41.726618705036,23.021582733813,16.9064748201439,0.359712230215827,0.719424460431655,3.23741007194245,3.59712230215827,0,10.431654676259,300,278,64.7482014388489,4.73684210526316
2139,"TUT-00296",2010,"2/17/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,13,19,"CPCE","SAMOA","Tutuila",0,0,-14.29448,-170.62241,"Forereef","Mid",54.5138888888889,15.2777777777778,15.9722222222222,1.04166666666667,0,1.73611111111111,0,0,11.4583333333333,300,288,69.7916666666667,5.28947368421053
2140,"TUT-00202",2010,"2/17/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,21,22,"CPCE","SAMOA","Tutuila",0,0,-14.32498,-170.67264,"Forereef","Deep",47.1204188481675,41.8848167539267,4.71204188481675,0,0,2.61780104712042,0,0,3.66492146596859,300,191,89.0052356020942,14.1666666666667
2141,"TUT-00329",2010,"2/17/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,16,17,"CPCE","SAMOA","Tutuila",0,0,-14.32362,-170.67035,"Forereef","Mid",43.9114391143911,31.3653136531365,14.0221402214022,0.738007380073801,0,0,0,0,9.96309963099631,290,271,75.2767527675277,7.55555555555556
2142,"TUT-00314",2010,"2/17/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,21,23,"CPCE","SAMOA","Tutuila",0,0,-14.32283,-170.66772,"Forereef","Deep",30.4347826086957,25.3623188405797,18.1159420289855,4.34782608695652,0.36231884057971,1.44927536231884,1.44927536231884,0.36231884057971,18.1159420289855,290,276,55.7971014492754,2.85185185185185
2143,"TUT-00220",2010,"2/17/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,3.3528,7.0104,"CPCE","SAMOA","Tutuila",0,0,-14.31296,-170.69319,"Forereef","Shallow",74.4360902255639,9.77443609022556,6.76691729323308,1.12781954887218,0,0.37593984962406,6.76691729323308,0,0.75187969924812,290,266,84.2105263157895,74.6666666666667
2146,"TUT-00429",2010,"2/18/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,2,7,"CPCE","SAMOA","Tutuila",0,0,-14.32108,-170.69731,"Forereef","Shallow",56.4748201438849,21.5827338129496,10.0719424460432,0,0.359712230215827,0,3.59712230215827,0,7.9136690647482,300,278,78.0575539568345,9.86363636363637
2149,"TUT-00318",2010,"2/18/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,4,7,"CPCE","SAMOA","Tutuila",0,0,-14.33562,-170.70432,"Forereef","Shallow",21.1111111111111,36.2962962962963,5.55555555555556,0,0,0.37037037037037,0.37037037037037,0,36.2962962962963,300,270,57.4074074074074,1.56565656565657
2150,"TUT-00325",2010,"2/18/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,2,6,"CPCE","SAMOA","Tutuila",0,0,-14.31091,-170.6931,"Forereef","Shallow",45.1737451737452,11.969111969112,23.9382239382239,0.386100386100386,1.15830115830116,0.772200772200772,0,0,16.6023166023166,300,259,57.1428571428571,3.28888888888889
2151,"TUT-00309",2010,"2/18/2010","HA1001",NA,"2010","TUT10_12","TUT_SW_OPEN",0,"-1",0,19,23,"CPCE","SAMOA","Tutuila",0,0,-14.36741,-170.77136,"Forereef","Deep",22.9090909090909,24.7272727272727,6.54545454545455,0,0,0,0.727272727272727,1.81818181818182,43.2727272727273,290,275,47.6363636363636,1.10084033613445
2152,"TUT-00254",2010,"2/18/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,10,16,"CPCE","SAMOA","Tutuila",0,0,-14.35507,-170.73053,"Forereef","Mid",36.5591397849462,25.089605734767,7.16845878136201,0.3584229390681,0.716845878136201,0,2.1505376344086,0.716845878136201,27.2401433691756,300,279,61.6487455197133,2.26315789473684
2154,"TUT-00340",2010,"2/18/2010","HA1001",NA,"2010","TUT10_12","TUT_FAGATELE",0,"-1",0,7,11,"CPCE","SAMOA","Tutuila",0,0,-14.36436,-170.76218,"Forereef","Mid",40.8396946564886,17.9389312977099,14.8854961832061,0.763358778625954,0.381679389312977,0,0,0,25.1908396946565,300,262,58.7786259541985,2.33333333333333
2155,"TUT-00241",2010,"2/18/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,12,16,"CPCE","SAMOA","Tutuila",0,0,-14.34597,-170.71994,"Forereef","Mid",54.7368421052632,18.9473684210526,8.07017543859649,0,0.701754385964912,0,1.05263157894737,4.91228070175439,11.5789473684211,300,285,73.6842105263158,6.36363636363636
2156,"TUT-00366",2010,"2/18/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,13,15,"CPCE","SAMOA","Tutuila",0,0,-14.33555,-170.70232,"Forereef","Mid",16.1290322580645,67.0250896057348,2.8673835125448,0,0.716845878136201,0,0.3584229390681,0.3584229390681,12.5448028673835,300,279,83.1541218637993,6.62857142857143
2157,"TUT-00223",2010,"2/18/2010","HA1001",NA,"2010","TUT10_12","TUT_FAGALUA",0,"-1",0,2,5,"CPCE","SAMOA","Tutuila",0,0,-14.3596,-170.7506,"Forereef","Shallow",44.8275862068966,13.0268199233716,10.3448275862069,0,0,0.766283524904214,0,7.66283524904215,23.3716475095785,300,261,57.8544061302682,2.3968253968254
2158,"TUT-00235",2010,"2/18/2010","HA1001",NA,"2010","TUT10_12","TUT_FAGALUA",0,"-1",0,9,14,"CPCE","SAMOA","Tutuila",0,0,-14.36006,-170.74939,"Forereef","Mid",45.2898550724638,37.6811594202899,5.43478260869565,0,2.17391304347826,3.26086956521739,0.72463768115942,0.72463768115942,4.71014492753623,300,276,82.9710144927536,10.4090909090909
2159,"TUT-00216",2010,"2/18/2010","HA1001",NA,"2010","TUT10_12","TUT_FAGATELE",0,"-1",0,16,26,"CPCE","SAMOA","Tutuila",0,0,-14.36471,-170.76341,"Forereef","Deep",48.2014388489209,16.5467625899281,5.03597122302158,4.31654676258993,0,1.07913669064748,0,4.31654676258993,20.5035971223022,300,278,64.7482014388489,3
2160,"TUT-00339",2010,"2/19/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,14,17,"CPCE","SAMOA","Tutuila",0,0,-14.30098,-170.5779,"Forereef","Mid",16.5467625899281,13.6690647482014,15.4676258992806,0.359712230215827,0,0,0,0.719424460431655,53.2374100719424,300,278,30.2158273381295,0.567567567567568
