region,island,lon,lat,year,month,day,date,date_r,coral_cover
NWHI,French_Frigate,-166.1612943,23.84356552,2014,8,16,2014-08-16T10:00:00Z,2014-08-16,0.07033763825893402
NWHI,French_Frigate,-166.24644,23.82381,2011,7,28,2011-07-28T10:00:00Z,2011-07-28,0.36344918608665466
NWHI,French_Frigate,-166.17557178,23.78879087,2010,9,8,2010-09-08T10:00:00Z,2010-09-08,0.22956694662570953
NWHI,French_Frigate,-166.26357716,23.86679999,2010,9,8,2010-09-08T10:00:00Z,2010-09-08,0.20303963124752045
NWHI,French_Frigate,-166.14979483,23.83940809,2014,8,16,2014-08-16T10:00:00Z,2014-08-16,0.05743829533457756
NWHI,French_Frigate,-166.19761643,23.85757654,2014,8,16,2014-08-16T10:00:00Z,2014-08-16,0.10799909383058548
NWHI,French_Frigate,-166.163069,23.733424,2016,9,27,2016-09-27T10:00:00Z,2016-09-27,0.1489216685295105
NWHI,French_Frigate,-166.15669649,23.7158896,2017,9,26,2017-09-26T10:00:00Z,2017-09-26,0.1512572318315506
NWHI,French_Frigate,-166.164036,23.778698,2016,9,27,2016-09-27T10:00:00Z,2016-09-27,0.18889422714710236
NWHI,French_Frigate,-166.143617,23.819997,2016,9,27,2016-09-27T10:00:00Z,2016-09-27,0.05887617543339729
NWHI,French_Frigate,-166.24455996,23.87798002,2017,9,9,2017-09-09T10:00:00Z,2017-09-09,0.22788673639297485
NWHI,French_Frigate,-166.236623,23.87805194,2014,8,14,2014-08-14T10:00:00Z,2014-08-14,0.22788673639297485
NWHI,French_Frigate,-166.089529,23.809284,2016,9,24,2016-09-24T10:00:00Z,2016-09-24,0.03658593073487282
NWHI,French_Frigate,-166.09864393,23.64244854,2017,9,10,2017-09-10T10:00:00Z,2017-09-10,0.07986022531986237
NWHI,French_Frigate,-166.17668473,23.85812564,2017,9,11,2017-09-11T10:00:00Z,2017-09-11,0.13311168551445007
NWHI,French_Frigate,-166.32411336,23.84894301,2010,9,7,2010-09-07T10:00:00Z,2010-09-07,0.5055246353149414
NWHI,French_Frigate,-166.06818125,23.69184343,2010,9,10,2010-09-10T10:00:00Z,2010-09-10,0.03657596558332443
NWHI,French_Frigate,-166.2519088,23.87926974,2014,8,14,2014-08-14T10:00:00Z,2014-08-14,0.17032001912593842
NWHI,French_Frigate,-166.198914,23.863528,2016,9,25,2016-09-25T10:00:00Z,2016-09-25,0.10799909383058548
NWHI,French_Frigate,-166.250265,23.879402,2015,7,31,2015-07-31T10:00:00Z,2015-07-31,0.17032001912593842
NWHI,French_Frigate,-166.281871,23.876125,2016,9,25,2016-09-25T10:00:00Z,2016-09-25,0.3302564322948456
NWHI,French_Frigate,-166.24667,23.82259,2011,7,28,2011-07-28T10:00:00Z,2011-07-28,0.36344918608665466
