region,island,lon,lat,year,month,day,coral_cover
NWHI,French_Frigate,193.8387057,23.84356552,2014,8,16,0.07033763825893402
NWHI,French_Frigate,193.75356,23.82381,2011,7,28,0.36344918608665466
NWHI,French_Frigate,193.82442822,23.78879087,2010,9,8,0.22956694662570953
NWHI,French_Frigate,193.73642284,23.86679999,2010,9,8,0.20303963124752045
NWHI,French_Frigate,193.85020517,23.83940809,2014,8,16,0.05743829533457756
NWHI,French_Frigate,193.80238357,23.85757654,2014,8,16,0.10799909383058548
NWHI,French_Frigate,193.836931,23.733424,2016,9,27,0.1489216685295105
NWHI,French_Frigate,193.84330351,23.7158896,2017,9,26,0.1512572318315506
NWHI,French_Frigate,193.835964,23.778698,2016,9,27,0.18889422714710236
NWHI,French_Frigate,193.856383,23.819997,2016,9,27,0.05887617543339729
NWHI,French_Frigate,193.75544004,23.87798002,2017,9,9,0.22788673639297485
NWHI,French_Frigate,193.763377,23.87805194,2014,8,14,0.22788673639297485
NWHI,French_Frigate,193.910471,23.809284,2016,9,24,0.03658593073487282
NWHI,French_Frigate,193.90135607,23.64244854,2017,9,10,0.07986022531986237
NWHI,French_Frigate,193.82331527,23.85812564,2017,9,11,0.13311168551445007
NWHI,French_Frigate,193.67588664,23.84894301,2010,9,7,0.5055246353149414
NWHI,French_Frigate,193.93181875,23.69184343,2010,9,10,0.03657596558332443
NWHI,French_Frigate,193.7480912,23.87926974,2014,8,14,0.17032001912593842
NWHI,French_Frigate,193.801086,23.863528,2016,9,25,0.10799909383058548
NWHI,French_Frigate,193.749735,23.879402,2015,7,31,0.17032001912593842
NWHI,French_Frigate,193.718129,23.876125,2016,9,25,0.3302564322948456
NWHI,French_Frigate,193.75333,23.82259,2011,7,28,0.36344918608665466
NWHI,French_Frigate,193.82434716,23.85683918,2017,9,11,0.13311168551445007
NWHI,French_Frigate,193.72106091,23.8782671,2017,9,27,0.3302564322948456
NWHI,French_Frigate,193.89726193,23.63723064,2010,9,10,0.07986022531986237
NWHI,French_Frigate,193.93651086,23.72693184,2010,9,10,0.021938297897577286
NWHI,French_Frigate,193.92420237,23.77070482,2010,9,10,0.03846968337893486
NWHI,French_Frigate,193.840963,23.635364,2016,9,1,0.14504699409008026
NWHI,French_Frigate,193.9139251,23.80643494,2014,8,15,0.03658593073487282
NWHI,French_Frigate,193.93733,23.71491,2011,7,27,0.023778658360242844
NWHI,French_Frigate,193.8795137,23.68615564,2012,8,4,0.12140706926584244
NWHI,French_Frigate,193.78062,23.64612,2015,7,30,0.43158939480781555
NWHI,French_Frigate,193.928914,23.68260649,2014,8,15,0.036853644996881485
NWHI,French_Frigate,193.80384813,23.64340408,2017,9,10,0.35393670201301575
NWHI,French_Frigate,193.7193199,23.8787535,2014,8,14,0.3302564322948456
NWHI,French_Frigate,193.70149579,23.87322949,2010,9,7,0.40568357706069946
NWHI,French_Frigate,193.6995015,23.85632177,2012,8,5,0.42427846789360046
NWHI,French_Frigate,193.70589,23.87395998,2017,9,9,0.26900026202201843
NWHI,French_Frigate,193.8926351,23.63346859,2014,8,15,0.052701760083436966
NWHI,French_Frigate,193.93629,23.69576,2011,7,27,0.015698350965976715
NWHI,French_Frigate,193.826389,23.775441,2016,9,27,0.21523645520210266
NWHI,French_Frigate,193.85574,23.79199,2016,9,27,0.13233034312725067
NWHI,French_Frigate,193.67940587,23.85988575,2010,9,8,0.4862614870071411
NWHI,French_Frigate,193.74629698,23.80577495,2016,9,3,0.38414913415908813
NWHI,French_Frigate,193.79076716,23.65411288,2017,9,26,0.3935262858867645
NWHI,French_Frigate,193.76625689,23.88210903,2010,9,7,0.20532022416591644
NWHI,French_Frigate,193.74124378,23.84763074,2010,9,8,0.2319018393754959
NWHI,French_Frigate,193.84087678,23.6588163,2010,9,9,0.2231152355670929
NWHI,French_Frigate,193.819438,23.809201,2016,9,27,0.20144976675510406
NWHI,French_Frigate,193.706032,23.876965,2016,9,26,0.3243560492992401
NWHI,French_Frigate,193.946472,23.725202,2016,9,24,0.021938297897577286
NWHI,French_Frigate,193.9052565,23.63931715,2010,9,10,0.06422022730112076
NWHI,French_Frigate,193.933426,23.690215,2016,9,24,0.03657596558332443
NWHI,French_Frigate,193.769295,23.881739,2016,9,25,0.20532022416591644
NWHI,French_Frigate,193.73803787,23.88063155,2017,9,27,0.276806116104126
NWHI,French_Frigate,193.730956,23.880939,2016,9,25,0.3030170798301697
NWHI,French_Frigate,193.668008,23.858306,2016,9,26,0.5191344022750854
NWHI,French_Frigate,193.805641,23.726281,2016,9,2,0.2886117398738861
NWHI,French_Frigate,193.9310376,23.79342078,2014,8,15,0.020837510004639626
NWHI,French_Frigate,193.83759367,23.69965402,2010,9,9,0.2290971428155899
NWHI,French_Frigate,193.739572,23.7722776,2014,8,16,0.44912177324295044
NWHI,French_Frigate,193.68527999,23.87243003,2017,9,9,0.43600502610206604
NWHI,French_Frigate,193.75989553,23.88225085,2017,9,11,0.22788673639297485
NWHI,French_Frigate,193.866304,23.624255,2016,9,1,0.08367638289928436
